En el segundo filtro se busca obtener solo los miembros que permitan al menos 5 huespedes
,id,listing_url,scrape_id,last_scraped,source,name,description,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
641,39110205,https://www.airbnb.com/rooms/39110205,20240923134023,2024-09-23,previous scrape,Imagination | 3 bed House Bristol | Free Parking,Perfect for working away from home or a holiday alike. Free Parking. Extra 15% and 25% off for longer stays >6 and >27 days.<br /><br />Free off street parking available for 2 cars/ vans plus 1 more directly in front of the driveway.<br /><br />Suitable for groups or individuals. Fully COVID compliant. Free high speed internet and Washer dryer on premises. Keysafe for access so totally self contained with no physical contact required. Imagination is a very cosy 3 bedroom home from home deep in Bristol suburbia a,,https://a0.muscache.com/pictures/prohost-api/Hosting-39110205/original/4d4e8443-d017-40a9-a6dd-abb9a563a0a7.jpeg,74829636,https://www.airbnb.com/users/show/74829636,David,2016-05-30,"Swindon, United Kingdom",,within an hour,100%,98%,f,https://a0.muscache.com/im/pictures/user/04268291-392f-4767-8e1d-8a7f14a8b37b.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/04268291-392f-4767-8e1d-8a7f14a8b37b.jpg?aki_policy=profile_x_medium,,3,3,['phone'],t,t,,Southmead,,51.49982,-2.60564,Entire home,Entire home/apt,6,,1 bath,3.0,,"[""Oven"", ""Dishwasher"", ""Stove"", ""Hot water kettle"", ""Free residential garage on premises"", ""Hot water"", ""Coffee maker"", ""Indoor fireplace"", ""Bed linens"", ""Kitchen"", ""Hair dryer"", ""TV with standard cable"", ""Refrigerator"", ""Washer"", ""Smoke alarm"", ""Iron"", ""Bathtub"", ""Free street parking"", ""Toaster"", ""Cooking basics"", ""Carbon monoxide alarm"", ""Private entrance"", ""Dedicated workspace"", ""Dryer"", ""Backyard"", ""Hangers"", ""Wifi"", ""Essentials"", ""Shampoo"", ""Dishes and silverware"", ""Heating"", ""Microwave""]",,2,120,2.0,3.0,120.0,120.0,3.0,120.0,,t,20,48,78,353,2024-09-23,34,7,3,2019-11-24,2024-09-20,4.56,4.65,4.56,4.82,4.79,4.76,4.53,,f,2,2,0,0,0.58
649,39527992,https://www.airbnb.com/rooms/39527992,20240923134023,2024-09-23,city scrape,higgihaus 3a 4 Bed Big Groups Hip Location,"Stylish house that accommodates groups of up to 12. Located in Stokes Croft, the city’s most ‘hip and happening’ neighbourhood!","The higgihaus@cheltenhamlane (#3a) sits in a hidden no-through lane and is a mere stone's throw from the Cheltenham and Gloucester Roads. Both are chock full of shops, restaurants, bars, coffee shops, pubs, supermarkets and all the transport options you’ll likely need when staying in our awesome city (including the train at Montpelier). Stokes Croft (famed for its street art) is a hop, skip and a jump away in one direction and the independent traders on the Gloucester Road (known locally as Bristol's Indie Shopping District) a couple of minutes in the other.",https://a0.muscache.com/pictures/prohost-api/Hosting-39527992/original/48445ef6-aacd-49c5-af08-fecae108dbf7.jpeg,164934575,https://www.airbnb.com/users/show/164934575,Luke,2017-12-30,"Bristol, United Kingdom","At higgihaus we're on a mission to deliver the sort of accommodation we love to stay in when we're travelling - comfortable, convivial, achingly stylish and that somehow manages to capture that elusive 'it feels good, but I'm not sure why' feeling. 

Founded by Luke Spikes in 2017, higgihaus will be bringing its unique brand of 'place to stay' to urban locations across the United Kingdom. For now, we're focused on Bristol and Cardiff and would love for you to stay with us when you, your family, and friends visit these awesome cities.",within an hour,98%,99%,t,https://a0.muscache.com/im/pictures/user/105a4946-a5f6-4278-a59a-5ef2039f4650.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/105a4946-a5f6-4278-a59a-5ef2039f4650.jpg?aki_policy=profile_x_medium,,35,53,"['email', 'phone', 'work_email']",t,t,Neighborhood highlights,Ashley,,51.46712,-2.591,Entire home,Entire home/apt,12,3.0,3 baths,4.0,10.0,"[""Oven"", ""Private patio or balcony"", ""Dishwasher"", ""Freezer"", ""Hot water kettle"", ""Hot water"", ""Bed linens"", ""Kitchen"", ""Hair dryer"", ""Refrigerator"", ""Washer"", ""TV"", ""Smoke alarm"", ""Iron"", ""Toaster"", ""Cooking basics"", ""Carbon monoxide alarm"", ""Private entrance"", ""Dedicated workspace"", ""Self check-in"", ""Smart lock"", ""Wifi"", ""Essentials"", ""Shampoo"", ""Fire extinguisher"", ""Dishes and silverware"", ""Heating"", ""Microwave""]","$1,033.00",2,1125,2.0,3.0,1125.0,1125.0,2.0,1125.0,,t,8,10,18,84,2024-09-23,34,3,0,2019-11-24,2024-06-16,4.79,4.88,4.85,4.91,4.91,4.65,4.5,,f,27,27,0,0,0.58
650,39528213,https://www.airbnb.com/rooms/39528213,20240923134023,2024-09-23,city scrape,higgihaus 3b 4 Bed Big Groups Hip Location,"Stylish house that accommodates groups of up to 10 and located in Stokes Croft, the city’s most ‘hip and happening’ neighbourhood!","The higgihaus@cheltenhamlane (#3b) sits in a hidden no-through lane and is a mere stone's throw from the Cheltenham and Gloucester Roads. Both are chock full of shops, restaurants, bars, coffee shops, pubs, supermarkets and all the transport options you’ll likely need when staying in our awesome city (including the train at Montpelier). Stokes Croft (famed for its street art) is a hop, skip and a jump away in one direction and the independent traders on the Gloucester Road (known locally as Bristol's Indie Shopping District) a couple of minutes in the other.",https://a0.muscache.com/pictures/prohost-api/Hosting-39528213/original/930812c3-57e9-46c2-9a69-936f955065cb.jpeg,164934575,https://www.airbnb.com/users/show/164934575,Luke,2017-12-30,"Bristol, United Kingdom","At higgihaus we're on a mission to deliver the sort of accommodation we love to stay in when we're travelling - comfortable, convivial, achingly stylish and that somehow manages to capture that elusive 'it feels good, but I'm not sure why' feeling. 

Founded by Luke Spikes in 2017, higgihaus will be bringing its unique brand of 'place to stay' to urban locations across the United Kingdom. For now, we're focused on Bristol and Cardiff and would love for you to stay with us when you, your family, and friends visit these awesome cities.",within an hour,98%,99%,t,https://a0.muscache.com/im/pictures/user/105a4946-a5f6-4278-a59a-5ef2039f4650.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/105a4946-a5f6-4278-a59a-5ef2039f4650.jpg?aki_policy=profile_x_medium,,35,53,"['email', 'phone', 'work_email']",t,t,Neighborhood highlights,Ashley,,51.46926,-2.59151,Entire home,Entire home/apt,10,3.0,3 baths,4.0,9.0,"[""Oven"", ""Dishwasher"", ""Freezer"", ""Hot water kettle"", ""Bed linens"", ""Kitchen"", ""Hair dryer"", ""TV with standard cable"", ""Refrigerator"", ""Smoke alarm"", ""Iron"", ""Toaster"", ""Cooking basics"", ""First aid kit"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""Backyard"", ""Self check-in"", ""Smart lock"", ""Wifi"", ""Essentials"", ""Shampoo"", ""Fire extinguisher"", ""Dishes and silverware"", ""Heating"", ""Microwave""]",$869.00,2,1125,2.0,3.0,1125.0,1125.0,2.0,1125.0,,t,4,8,16,82,2024-09-23,37,5,0,2019-11-24,2024-06-23,4.86,4.89,4.84,4.95,4.89,4.76,4.7,,f,27,27,0,0,0.63
652,39569577,https://www.airbnb.com/rooms/39569577,20240923134023,2024-09-23,city scrape,higgihaus 3a 3b 8 Bed Big Groups Hip,"A pair of townhouses that comfortably accommodates large groups. Located in Stokes Croft, the city’s most ‘hip and happening’ neighbourhood!","The higgihaus@cheltenhamlane (#3a & #3b) sits in a hidden no-through lane and is a mere stone's throw from the Cheltenham and Gloucester Roads. Both are chock full of shops, restaurants, bars, coffee shops, pubs, supermarkets and all the transport options you’ll likely need when staying in our awesome city (including the train at Montpelier). Stokes Croft (famed for its street art) is a hop, skip and a jump away in one direction and the independent traders on the Gloucester Road (known locally as Bristol's Indie Shopping District) a couple of minutes in the other.",https://a0.muscache.com/pictures/prohost-api/Hosting-39569577/original/9d2d5f54-e1ad-4f39-8f25-bd88dbee26f9.jpeg,164934575,https://www.airbnb.com/users/show/164934575,Luke,2017-12-30,"Bristol, United Kingdom","At higgihaus we're on a mission to deliver the sort of accommodation we love to stay in when we're travelling - comfortable, convivial, achingly stylish and that somehow manages to capture that elusive 'it feels good, but I'm not sure why' feeling. 

Founded by Luke Spikes in 2017, higgihaus will be bringing its unique brand of 'place to stay' to urban locations across the United Kingdom. For now, we're focused on Bristol and Cardiff and would love for you to stay with us when you, your family, and friends visit these awesome cities.",within an hour,98%,99%,t,https://a0.muscache.com/im/pictures/user/105a4946-a5f6-4278-a59a-5ef2039f4650.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/105a4946-a5f6-4278-a59a-5ef2039f4650.jpg?aki_policy=profile_x_medium,,35,53,"['email', 'phone', 'work_email']",t,t,Neighborhood highlights,Ashley,,51.4691,-2.59083,Entire home,Entire home/apt,16,6.0,6 baths,8.0,18.0,"[""Oven"", ""Dishwasher"", ""Freezer"", ""Hot water kettle"", ""Hot water"", ""Wine glasses"", ""Bed linens"", ""Kitchen"", ""Hair dryer"", ""Refrigerator"", ""Washer"", ""TV"", ""Smoke alarm"", ""Iron"", ""Toaster"", ""Cooking basics"", ""Carbon monoxide alarm"", ""Private entrance"", ""Dedicated workspace"", ""Self check-in"", ""Smart lock"", ""Wifi"", ""Essentials"", ""Shampoo"", ""Fire extinguisher"", ""Dishes and silverware"", ""Heating"", ""Microwave""]","$1,300.00",2,1125,2.0,3.0,365.0,1125.0,2.0,995.7,,t,4,6,14,80,2024-09-23,54,19,3,2020-01-05,2024-09-15,4.91,4.93,4.85,4.98,4.91,4.76,4.52,,f,27,27,0,0,0.94
655,39671346,https://www.airbnb.com/rooms/39671346,20240923134023,2024-09-23,previous scrape,"Victorian family house off Gloucester Rd, sleeps 5","Entire house, sleeping comprises kids bedroom with 2 single beds and 2 bedrooms with double bed.<br />Victorian terraced house, recently renovated, with a good size back garden, big and bright kitchen with peninsula and dining area, spacious living room with fire place and big windows.<br />Ideal for families or small groups.","The street is a beautiful tree lined short street just outside Gloucester Road. The Horfiled Leisure Centre with swimming pool and gym is at walking distance. Supermarkets, pharmacy and pubs are also very close by.<br />A short car/bus journey will take you to Clifton and the city centre.<br />Our house is in a relatively quiet street, we have lovely neighbours and it's important to us that our guests are respectful of their peace and quiet.",https://a0.muscache.com/pictures/b387fe3f-b1d3-41f2-b939-e95b5dc4578e.jpg,69504975,https://www.airbnb.com/users/show/69504975,Francesca,2016-04-29,"Bristol, United Kingdom","Hi I’m Francesca, proudly Italian living in Bristol, UK.
I love design, food and travelling, but most of all getting to know different people and cultures. I also enjoy spending time outdoors with my family.",,,100%,f,https://a0.muscache.com/im/pictures/user/be775ab9-7d46-4f41-a2ad-d0a0358e0249.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/be775ab9-7d46-4f41-a2ad-d0a0358e0249.jpg?aki_policy=profile_x_medium,,1,2,"['email', 'phone']",t,t,Neighborhood highlights,Horfield,,51.48938,-2.58313,Entire home,Entire home/apt,5,,2 baths,3.0,,"[""Oven"", ""Books and reading material"", ""Private patio or balcony"", ""Dining table"", ""Dishwasher"", ""Room-darkening shades"", ""Freezer"", ""Hot water kettle"", ""Hot water"", ""Wine glasses"", ""Bed linens"", ""Fast wifi \u2013 107 Mbps"", ""Hair dryer"", ""Kitchen"", ""Coffee maker: Nespresso"", ""HDTV with Netflix, Amazon Prime Video"", ""Refrigerator"", ""Drying rack for clothing"", ""Indoor fireplace: wood-burning"", ""Free washer \u2013 In unit"", ""Smoke alarm"", ""Free dryer \u2013 In unit"", ""Piano"", ""Children\u2019s dinnerware"", ""Iron"", ""Bose sound system with Bluetooth and aux"", ""Bathtub"", ""Free street parking"", ""Toaster"", ""Cooking basics"", ""BBQ grill: charcoal"", ""Children\u2019s books and toys for ages 2-5 years old, 5-10 years old, and 10+ years old"", ""First aid kit"", ""Extra pillows and blankets"", ""Barbecue utensils"", ""Carbon monoxide alarm"", ""Bread maker"", ""Dedicated workspace"", ""Clothing storage"", ""Backyard"", ""Baking sheet"", ""Hangers"", ""Radiant heating"", ""Essentials"", ""Board games"", ""Fire extinguisher"", ""Dishes and silverware"", ""Microwave""]",,5,23,5.0,5.0,23.0,23.0,5.0,23.0,,t,0,0,0,0,2024-09-23,7,1,0,2020-01-03,2024-08-11,4.57,4.86,5.0,5.0,4.71,4.71,4.14,,f,1,1,0,0,0.12
663,40129335,https://www.airbnb.com/rooms/40129335,20240923134023,2024-09-23,city scrape,Award Winning - Hidden Gem in Central Bristol,"WINNER of three RIBA Awards 2021 & ranked second out of eleven best Airbnb's in Bristol by Time Out magazine, a jewel hidden behind an Edwardian wall. The Corten Steel exterior peeps over the corner of one of the city's friendliest little streets lined with quirky cafes, award winning restaurants, and a delightful butcher & baker. Two double bedrooms, a lounge sofabed & a private roof garden overlooking the Mina Road park - the house has been finished and equipped to the highest standards.","St Werburghs is Bristol's best kept secret, a charming spread of Edwardian streets with Mina Road, as it's 'high street'.  Award winning restaurants, cafes and lovely little local shops.  2 min drive from huge supermarket. 15 minute walk to Cabot Circus shopping centre. 25 minutes from the airport.  The area is brightened by the graffiti so beloved in Bristol (home of Banksy).    The curved exterior backs onto Mina Park with where children can play in a lovely playground.  Meet the locals out with their dogs and children.",https://a0.muscache.com/pictures/076060a9-0855-4b7f-b4be-69b006359c64.jpg,37348515,https://www.airbnb.com/users/show/37348515,Jane,2015-07-02,Israel,,within an hour,91%,97%,t,https://a0.muscache.com/im/pictures/user/3f84d074-e956-4e0f-b41b-7882214c0312.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/3f84d074-e956-4e0f-b41b-7882214c0312.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,t,Neighborhood highlights,Ashley,,51.46904,-2.57532,Entire home,Entire home/apt,6,2.0,2 baths,2.0,3.0,"[""Private patio or balcony"", ""Dining table"", ""Laundromat nearby"", ""Dishwasher"", ""Pack \u2019n play/Travel crib - always at the listing"", ""Room-darkening shades"", ""Portable fans"", ""Freezer"", ""Stove"", ""Hot water"", ""Hot water kettle"", ""Wine glasses"", ""Bed linens"", ""Pets allowed"", ""Hair dryer"", ""Kitchen"", ""Coffee maker: Nespresso"", ""Au Lait shampoo"", ""Au Lait conditioner"", ""Outdoor furniture"", ""Au Lait  body soap"", ""Refrigerator"", ""Drying rack for clothing"", ""Shower gel"", ""Free washer \u2013 In unit"", ""Smoke alarm"", ""Free dryer \u2013 In unit"", ""Iron"", ""55 inch HDTV with Amazon Prime Video, Disney+, Netflix, DVD player"", ""Lockbox"", ""Bathtub"", ""Free street parking"", ""Toaster"", ""Cooking basics"", ""Single oven"", ""First aid kit"", ""Outdoor dining area"", ""Extra pillows and blankets"", ""Carbon monoxide alarm"", ""Private entrance"", ""Coffee"", ""Self check-in"", ""Cleaning products"", ""Hangers"", ""Private backyard \u2013 Fully fenced"", ""Wifi"", ""Ethernet connection"", ""Essentials"", ""Board games"", ""Dishes and silverware"", ""Heating"", ""Microwave""]",$122.00,2,21,1.0,2.0,1125.0,1125.0,1.4,1125.0,,t,13,29,53,321,2024-09-23,281,74,3,2019-12-06,2024-09-01,4.97,4.97,4.89,4.98,4.99,4.8,4.83,,f,1,1,0,0,4.81
673,40390796,https://www.airbnb.com/rooms/40390796,20240923134023,2024-09-23,city scrape,"Period town house, prime Clifton Village location","Our 4 bedroom period townhouse could not be better located in Clifton Village. <br /><br />It includes two large bright bedrooms with double beds, a single daybed  in a third bedroom and a fourth room with a bunk bed. <br /><br />Moments from the spectacular Clifton Suspension Bridge at the end of the street, it is within walking distance of award winning cafes, restaurants and boutique shops.","The house is located in the heart of Clifton Village, the must-visit location of Bristol and the South West of England.<br />Clifton is the home of Isambard Kingdom Brunels spectacular Suspension Bridge - not to be missed !! Following the terraces, crescents and squares of Georgian and Regency architecture you are led temptingly from Clifton Triangle to Clifton Village along a trail of award winning cafes, bars, restaurants, pubs, shops, chic boutiques and leafy squares.<br />Boredom will never set in as you share a postcode with some of Bristol’s most famed attractions – Bristol City Museum and Art Gallery, Bristol Observatory and the sprawling green Durdham Downs (great for walks, runs, or picnics if you’re feeling more relaxed).<br />Key shopping roads include Whiteladies Road, Princess Victoria Street and Regent Street.",https://a0.muscache.com/pictures/ebd0f50c-6be1-4a79-b483-ab676bf37db1.jpg,18054772,https://www.airbnb.com/users/show/18054772,Richard & Rebecca,2014-07-13,"Bristol, United Kingdom","We are a family of five, Richard and Rebecca, and our three children George, Lottie and Teddy... Although we may be traveling in any combination of the above, depending on our trip.",within an hour,100%,97%,t,https://a0.muscache.com/im/pictures/user/2beabedc-f652-4b19-8de0-63d525730af1.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/2beabedc-f652-4b19-8de0-63d525730af1.jpg?aki_policy=profile_x_medium,,1,3,"['email', 'phone', 'work_email']",t,t,Neighborhood highlights,Clifton,,51.45228,-2.6236,Entire townhouse,Entire home/apt,7,2.5,2.5 baths,4.0,5.0,"[""Clothing storage: closet, wardrobe, and dresser"", ""Oven"", ""Books and reading material"", ""Dining table"", ""Dishwasher"", ""Room-darkening shades"", ""Portable fans"", ""Freezer"", ""Stove"", ""Hot water"", ""Hot water kettle"", ""Wine glasses"", ""Paid parking off premises"", ""Bed linens"", ""Portable heater"", ""Hair dryer"", ""Kitchen"", ""Coffee maker: Nespresso"", ""Refrigerator"", ""Drying rack for clothing"", ""Shower gel"", ""Pack \u2019n play/Travel crib"", ""Free washer \u2013 In unit"", ""Patio or balcony"", ""30 inch HDTV"", ""Body soap"", ""Smoke alarm"", ""Children\u2019s dinnerware"", ""Iron"", ""Lockbox"", ""Bathtub"", ""Toaster"", ""Cooking basics"", ""Children\u2019s books and toys"", ""Carbon monoxide alarm"", ""Private entrance"", ""Dedicated workspace"", ""Coffee"", ""Long term stays allowed"", ""Dryer"", ""Central heating"", ""Crib"", ""Cleaning products"", ""Backyard"", ""Self check-in"", ""Hangers"", ""Wifi"", ""Essentials"", ""Shampoo"", ""High chair"", ""Dishes and silverware"", ""Microwave""]",$257.00,2,31,2.0,2.0,1125.0,1125.0,2.0,1125.0,,t,26,56,84,238,2024-09-23,102,23,3,2020-01-02,2024-09-15,4.6,4.64,4.53,4.86,4.79,4.96,4.36,,f,1,1,0,0,1.77
676,40519320,https://www.airbnb.com/rooms/40519320,20240923134023,2024-09-23,city scrape,MyCityHaven - South Parade Mansions with parking,"Located in one of the best areas of Bristol with so many things to see and do right on your doorstep, this spacious 3 bedroom apartment is a fantastic base from which to enjoy all that Bristol has to offer.<br /><br />Whether you want to enjoy the many and varied local cafes, bars or quality restaurants, explore Clifton Village or shop til you drop in Cabots Circus, your stay here will allow you to do it all.","You couldn't be in a better location in Bristol. The apartment is surrounded by restaurants and bars to suit everyone's tastes. Not only are you in the amazing location of Whiteladies Road, but also within walking distance to Clifton Village, the city centre, The Triangle, the Downs and much more.",https://a0.muscache.com/pictures/4888dc55-b808-4a3a-b06b-885f13c8dcfa.jpg,51686051,https://www.airbnb.com/users/show/51686051,Michael,2015-12-18,"Bristol, United Kingdom","Welcome to MyCityHaven We're here to help you enjoy your stay with us in Bristol, Bath, South Wales and the South West of England. 

Find us online to book direct for the best rates!",within an hour,97%,97%,f,https://a0.muscache.com/im/pictures/user/f542490b-327d-400f-846d-9681c8b406a7.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/f542490b-327d-400f-846d-9681c8b406a7.jpg?aki_policy=profile_x_medium,,28,38,"['phone', 'work_email']",t,t,Neighborhood highlights,Clifton Down,,51.46086,-2.60918,Entire rental unit,Entire home/apt,6,2.0,2 baths,3.0,4.0,"[""Private patio or balcony"", ""Laundromat nearby"", ""Dishwasher"", ""Room-darkening shades"", ""Freezer"", ""Hot water kettle"", ""Hot water"", ""Wine glasses"", ""Coffee maker"", ""Bed linens"", ""Pets allowed"", ""Hair dryer"", ""Kitchen"", ""Clothing storage: closet and dresser"", ""Outdoor furniture"", ""Refrigerator"", ""Paid parking garage off premises"", ""Drying rack for clothing"", ""Shower gel"", ""Pack \u2019n play/Travel crib"", ""Free washer \u2013 In unit"", ""Smoke alarm"", ""Iron"", ""Lockbox"", ""Bathtub"", ""Toaster"", ""42 inch HDTV with Netflix"", ""Cooking basics"", ""Children\u2019s books and toys"", ""First aid kit"", ""Outdoor dining area"", ""Extra pillows and blankets"", ""Carbon monoxide alarm"", ""Private entrance"", ""Dedicated workspace"", ""Coffee"", ""Long term stays allowed"", ""Crib"", ""Cleaning products"", ""Board games"", ""Free parking on premises"", ""Baking sheet"", ""Self check-in"", ""Stainless steel oven"", ""Hangers"", ""Private backyard \u2013 Fully fenced"", ""Wifi"", ""Essentials"", ""Shampoo"", ""Dishes and silverware"", ""Heating"", ""Microwave""]",$125.00,2,1125,2.0,4.0,1125.0,1125.0,3.2,1125.0,,t,9,37,67,67,2024-09-23,60,9,1,2020-09-05,2024-09-02,4.45,4.63,4.25,4.75,4.77,4.93,4.45,,f,20,20,0,0,1.22
695,40957341,https://www.airbnb.com/rooms/40957341,20240923134023,2024-09-23,previous scrape,"Large, Luxury City Centre Flat with Balcony","This newly refurbished apartment is situated on the first floor of this typical Georgian townhouse.  You access the flat via a communal hall and stairs, shared with the other flats in the building and there are 2 flights of stairs to the first floor.","Park Street is a vibrant part of our city with plenty going on at night.  The flat is perfectly placed for those visiting the city to watch a show or attend a gig as it's walking distance to The Hippodrome, Colston Hall, O2 Arena, St George's Hall and many of the smaller venues.    The bedrooms are situated at the back of the property so you won't be troubled by noise during the night.",https://a0.muscache.com/pictures/miso/Hosting-40957341/original/1eadf65c-7234-481d-a0e6-fbf504833118.jpeg,81589337,https://www.airbnb.com/users/show/81589337,Lavinia,2016-07-04,"Bristol, United Kingdom","Hi I'm Lavinia 

I've lived in Bristol for nearly 25 years and I absolutely love living here! I spent my childhood growing up in the Far East so I've done my fair share of travelling, but I still have a hunger for more! I manage a number of properties for family and friends and I love welcoming new visitors. I know the city like the back of my hand so I'd love to tell you about all the things that go on in our vibrant city. I look forward to welcoming you and making your stay one to remember.

 See you soon Lavinia ",within an hour,100%,100%,t,https://a0.muscache.com/im/pictures/user/0448f95c-f55b-428d-803e-86046f3390d3.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/0448f95c-f55b-428d-803e-86046f3390d3.jpg?aki_policy=profile_x_medium,,10,10,"['email', 'phone']",t,t,Neighborhood highlights,Hotwells & Harbourside,,51.45377,-2.60329,Entire rental unit,Entire home/apt,7,,2 baths,2.0,,"[""Oven"", ""Dishwasher"", ""Hot water"", ""Coffee maker"", ""Indoor fireplace"", ""Kitchen"", ""Hair dryer"", ""High chair"", ""Baby bath"", ""Refrigerator"", ""TV"", ""Patio or balcony"", ""Pack \u2019n play/Travel crib"", ""Free washer \u2013 In unit"", ""Smoke alarm"", ""Cooking basics"", ""Carbon monoxide alarm"", ""City skyline view"", ""Private entrance"", ""Dedicated workspace"", ""Free residential garage on premises \u2013 1 space"", ""Crib"", ""Stainless steel gas stove"", ""Hangers"", ""Wifi"", ""Essentials"", ""Fire extinguisher"", ""Dishes and silverware"", ""Heating""]",,2,28,2.0,2.0,1125.0,1125.0,2.0,1125.0,,t,0,0,0,0,2024-09-23,41,22,0,2020-01-01,2024-08-18,4.83,4.8,4.83,4.85,4.98,4.93,4.8,,f,9,9,0,0,0.71
700,41430528,https://www.airbnb.com/rooms/41430528,20240923134023,2024-09-23,city scrape,Victorian Townhouse for Family Holiday,"This is our lovely 3 storey Victorian semi-detached townhouse. Super close to all amenities, 500m to a country estate and 10 mins to the main motorways or 10 mins to Parkway Rail Station.<br />Great house for kids with plenty of indoor toys in our play room and plenty of outdoor toys in the large back garden. <br />Large kitchen diner and separate lounge with TV.<br />Off street parking for 1  car and plenty of free on street parking.<br />Easy to explore central Bristol which is 4.5 miles away.",,https://a0.muscache.com/pictures/59b3f5f5-f79d-4432-926a-ef6d024c0844.jpg,12730318,https://www.airbnb.com/users/show/12730318,Melanie,2014-03-02,"Bristol, United Kingdom","A horticulturalist who is also a DIY enthusiast (case of having to, not wanting to). LOVES baking cakes and LOVES eating cake more. Well travelled, reasonably well educated and LOVES laughing.",,,,f,https://a0.muscache.com/im/pictures/user/60ad5d0f-23eb-4b52-8295-314e2f9b33a8.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/60ad5d0f-23eb-4b52-8295-314e2f9b33a8.jpg?aki_policy=profile_x_medium,,1,3,"['email', 'phone']",t,t,,Frome Vale,,51.48233,-2.5261,Entire townhouse,Entire home/apt,7,1.5,1.5 baths,4.0,7.0,"[""Books and reading material"", ""Induction stove"", ""Freezer"", ""Bed linens"", ""Kitchen"", ""Outdoor furniture"", ""Refrigerator"", ""Washer"", ""TV"", ""Blender"", ""Smoke alarm"", ""Body soap"", ""Record player"", ""Fire pit"", ""Iron"", ""Bathtub"", ""Free street parking"", ""Private backyard \u2013 Not fully fenced"", ""Keypad"", ""Children\u2019s books and toys"", ""First aid kit"", ""Outdoor dining area"", ""Barbecue utensils"", ""Children's playroom"", ""Carbon monoxide alarm"", ""Bread maker"", ""Private entrance"", ""Dedicated workspace"", ""Clothing storage"", ""Dryer"", ""Free parking on premises"", ""Cleaning products"", ""Self check-in"", ""Outdoor playground"", ""Baking sheet"", ""Hangers"", ""Coffee maker: espresso machine"", ""BBQ grill"", ""Wifi"", ""Essentials"", ""Board games"", ""Heating"", ""Microwave""]",$250.00,7,7,7.0,7.0,7.0,7.0,7.0,7.0,,t,0,0,21,201,2024-09-23,0,0,0,,,,,,,,,,,f,1,1,0,0,
