En el quinto filtro se busca obtener los anuncios que tengan 1 baño o que sean superhost pero con la condición de que todos sean instant bookable
,id,listing_url,scrape_id,last_scraped,source,name,description,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
1866,964581214126493588,https://www.airbnb.com/rooms/964581214126493588,20240923134023,2024-09-23,city scrape,Silverstone-Free Parking by Prescott Apartments,"☎ BOOK TODAY at Prescott Apartments - Serviced Accommodation ☎ <br /><br />★❅ SPECIAL OFFERS IF YOU BOOK DIRECTLY TODAY! ❅★<br /><br />A modern designed motorsport theme, 2 bedroom apartment in the centre of Bristol.<br /><br />★FREE PARKING<br />★2 Bedroom Apartment<br />★Sleeps Up to 4 Guests  (2 x King Beds)<br />★Fresh Linen & Towels  <br />★Professionally Cleaned  <br />★Free Wi-Fi + 55"" 4K Smart TV  <br />★Fully Equipped Kitchen<br /><br />★Public transports nearby.★<br /><br />★We warmly invites Families, Friends, Business Travellers & Contractors in Bristol★","Elegant, leafy and filled with chic boutiques, cosy cafes, beautiful buildings and iconic attractions such as the Clifton Suspension Bridge, Clifton is one of Bristol’s most exclusive suburbs and picturesque quarters.<br /><br />Clifton Village boasts an array of luxury boutiques and is well known for its many coffee shops and pubs. Clifton Down Shopping Centre also offers a good variety of shops, as does Whiteladies Road.<br /><br />Clifton College, Clifton High, Bristol Grammar and QEH, as well as Christchurch and St John’s are all based close by.<br /><br />Clifton has a lovely mix of Edwardian, Victorian and Georgian houses as well as popular town house flat conversions throughout.<br /><br />Main roads – Princess Victoria Street (Clifton Village), Whiteladies Road, Pembroke Road and Queens Road.<br /><br />Main attractions – Bristol Zoo, Clifton Suspension Bridge, the Observatory and the Downs.<br /><br />Restaurants – You are spoilt for choice when it comes to fabulous restaurant",https://a0.muscache.com/pictures/miso/Hosting-964581214126493588/original/65f95180-ffaa-4d0e-8166-aa2410da1498.jpeg,154152507,https://www.airbnb.com/users/show/154152507,Prescott Apartments,2017-10-11,,"Prescott Apartments main aim is to provide travellers with the ""home away from home"" feeling they require. We take pride in our apartments and strive to constantly increase levels of guest satisfaction. Whether you're relocating to the city, after a quick get away or even working in the area. We aim to make your stay quick, easy and enjoyable.",within an hour,98%,96%,f,https://a0.muscache.com/im/pictures/user/976f9183-bb26-4a5d-8768-5d3adc434794.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/976f9183-bb26-4a5d-8768-5d3adc434794.jpg?aki_policy=profile_x_medium,,39,52,"['email', 'phone']",t,t,Neighborhood highlights,Clifton Down,,51.46693,-2.6116,Entire rental unit,Entire home/apt,4,1.0,1 bath,2.0,2.0,"[""Oven"", ""Dining table"", ""Laundromat nearby"", ""Dishwasher"", ""Room-darkening shades"", ""Portable fans"", ""Freezer"", ""Stove"", ""Hot water"", ""Exterior security cameras on property"", ""Hot water kettle"", ""Wine glasses"", ""Bed linens"", ""Hair dryer"", ""Kitchen"", ""Conditioner"", ""Coffee maker: Nespresso"", ""Single level home"", ""Refrigerator"", ""Theme room"", ""TV"", ""Drying rack for clothing"", ""Shower gel"", ""Free washer \u2013 In unit"", ""Smoke alarm"", ""Body soap"", ""Free parking on premises \u2013 1 space"", ""Iron"", ""Lockbox"", ""Bathtub"", ""Toaster"", ""Cooking basics"", ""First aid kit"", ""Carbon monoxide alarm"", ""Private entrance"", ""Dedicated workspace"", ""Coffee"", ""Long term stays allowed"", ""Clothing storage"", ""Central heating"", ""Crib"", ""Cleaning products"", ""Self check-in"", ""Hangers"", ""Wifi"", ""Essentials"", ""Shampoo"", ""Fire extinguisher"", ""Dishes and silverware"", ""Paid parking garage off premises"", ""Microwave""]",$239.00,2,365,2.0,7.0,365.0,365.0,6.6,365.0,,t,24,54,84,359,2024-09-23,16,15,1,2023-09-03,2024-08-26,5.0,5.0,5.0,4.94,5.0,5.0,5.0,,t,26,26,0,0,1.24
1868,966643955106195991,https://www.airbnb.com/rooms/966643955106195991,20240923134023,2024-09-23,city scrape,Studio-1 Bedflat Bristol central,Studio flat Bristol city center,,https://a0.muscache.com/pictures/miso/Hosting-966643955106195991/original/2bebd355-92cd-48d7-8f0c-7d8ee87b218b.jpeg,166781700,https://www.airbnb.com/users/show/166781700,Ntamaliona,2018-01-09,"Bristol, United Kingdom",,within an hour,89%,98%,f,https://a0.muscache.com/im/pictures/user/9129e412-4692-4696-b86e-afe7ab101799.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/9129e412-4692-4696-b86e-afe7ab101799.jpg?aki_policy=profile_x_medium,,4,6,"['email', 'phone']",t,t,,Cotham,,51.46421,-2.5907,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Smoke alarm"", ""Refrigerator"", ""Washer"", ""Wifi"", ""Coffee maker"", ""Fire extinguisher"", ""Dishes and silverware"", ""Kitchen""]",$91.00,1,365,1.0,1.0,365.0,365.0,1.0,365.0,,t,28,58,88,268,2024-09-23,29,29,2,2023-10-01,2024-08-31,4.62,4.69,4.48,4.76,4.69,4.48,4.48,,t,4,3,1,0,2.42
1872,967418047469516732,https://www.airbnb.com/rooms/967418047469516732,20240923134023,2024-09-23,city scrape,Spitfire by Prescott Apartments with Free Parking,"☎ BOOK TODAY at Prescott Apartments - Serviced Accommodation ☎  <br /><br />★❅SPECIAL OFFERS IF YOU BOOK DIRECTLY TODAY!❅★<br /><br />A uniquely designed 2 bed apartment, based heavily on the aerospace creativity and engineering at Bristol.<br /><br />★ FREE PARKING<br />★ Sleeps  4 Guests  (1 x King Bed & 2 x Single Beds)<br />★ Fresh Linen & Towels  <br />★ Professionally Cleaned  <br />★ Free Wi-Fi + 55"" 4K Smart TV  <br />★ Fully Equipped Kitchen<br /><br />★We welcome Families, Friends, Business Travellers & Contractors ★","Elegant, leafy and filled with chic boutiques, cosy cafes, beautiful buildings and iconic attractions such as the Clifton Suspension Bridge, Clifton is one of Bristol’s most exclusive suburbs and picturesque quarters.<br /><br />Clifton Village boasts an array of luxury boutiques and is well known for its many coffee shops and pubs. Clifton Down Shopping Centre also offers a good variety of shops, as does Whiteladies Road.<br /><br />Clifton College, Clifton High, Bristol Grammar and QEH, as well as Christchurch and St John’s are all based close by.<br /><br />Clifton has a lovely mix of Edwardian, Victorian and Georgian houses as well as popular town house flat conversions throughout.<br /><br />Main roads – Princess Victoria Street (Clifton Village), Whiteladies Road, Pembroke Road and Queens Road.<br /><br />Main attractions – Bristol Zoo, Clifton Suspension Bridge, the Observatory and the Downs.<br /><br />Restaurants – You are spoilt for choice when it comes to fabulous restaurant",https://a0.muscache.com/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6OTY3NDE4MDQ3NDY5NTE2NzMy/original/ec38fe15-8eba-4c62-b025-7cd8a5a6462f.jpeg,154152507,https://www.airbnb.com/users/show/154152507,Prescott Apartments,2017-10-11,,"Prescott Apartments main aim is to provide travellers with the ""home away from home"" feeling they require. We take pride in our apartments and strive to constantly increase levels of guest satisfaction. Whether you're relocating to the city, after a quick get away or even working in the area. We aim to make your stay quick, easy and enjoyable.",within an hour,98%,96%,f,https://a0.muscache.com/im/pictures/user/976f9183-bb26-4a5d-8768-5d3adc434794.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/976f9183-bb26-4a5d-8768-5d3adc434794.jpg?aki_policy=profile_x_medium,,39,52,"['email', 'phone']",t,t,Neighborhood highlights,Clifton Down,,51.46621,-2.61111,Entire rental unit,Entire home/apt,4,1.0,1 bath,2.0,3.0,"[""Oven"", ""Dining table"", ""Dishwasher"", ""Room-darkening shades"", ""Portable fans"", ""Freezer"", ""Stove"", ""Hot water"", ""Exterior security cameras on property"", ""Hot water kettle"", ""Wine glasses"", ""Bed linens"", ""Hair dryer"", ""Kitchen"", ""Conditioner"", ""Coffee maker: Nespresso"", ""Refrigerator"", ""Washer"", ""TV"", ""Theme room"", ""Drying rack for clothing"", ""Shower gel"", ""Smoke alarm"", ""Body soap"", ""Iron"", ""Lockbox"", ""Bathtub"", ""Toaster"", ""Cooking basics"", ""First aid kit"", ""Carbon monoxide alarm"", ""City skyline view"", ""Private entrance"", ""Dedicated workspace"", ""Coffee"", ""Long term stays allowed"", ""Clothing storage"", ""Crib"", ""Cleaning products"", ""Free parking on premises"", ""Self check-in"", ""Paid parking on premises \u2013 1 space"", ""Hangers"", ""Wifi"", ""Essentials"", ""Shampoo"", ""Fire extinguisher"", ""Dishes and silverware"", ""Heating"", ""Microwave""]",$222.00,2,365,2.0,7.0,365.0,365.0,6.6,365.0,,t,26,56,86,361,2024-09-23,11,11,0,2023-12-15,2024-08-08,4.91,4.91,4.91,4.91,4.82,4.91,4.82,,t,26,26,0,0,1.16
1873,967738629462812114,https://www.airbnb.com/rooms/967738629462812114,20240923134023,2024-09-23,city scrape,Cozy Urban Retreat | Modern 1BR | Free Parking,Your Bristol adventure starts here! Book now to experience the perfect blend of modern comfort and urban excitement. 🛋️🌆,Nearby places: <br />☞ Local cafes <br />☞ Shops <br />☞ Cultural spots,https://a0.muscache.com/pictures/prohost-api/Hosting-967738629462812114/original/2befb12b-b222-4ed1-b4de-61b71cec6923.jpeg,501474854,https://www.airbnb.com/users/show/501474854,CoHost,2023-02-17,,"Meet Matthew, the Director of Cohost Partners, a professional host with a background in the world of hotels. With years of experience, Cohost is committed to delivering nothing but 5-star services to all guests. We understand the importance of making each guest feel at home and ensuring that their stay is comfortable, enjoyable, and memorable.",within an hour,100%,99%,f,https://a0.muscache.com/im/pictures/user/User-501474854/original/e038317a-a5ff-4218-8771-c1f34d89d3ba.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-501474854/original/e038317a-a5ff-4218-8771-c1f34d89d3ba.jpeg?aki_policy=profile_x_medium,,123,184,"['email', 'phone']",t,t,Neighborhood highlights,Ashley,,51.46322,-2.58752,Entire rental unit,Entire home/apt,4,1.0,1 bath,1.0,2.0,"[""Oven"", ""Laundromat nearby"", ""Stove"", ""Freezer"", ""Hot water kettle"", ""Hot water"", ""Wine glasses"", ""Bed linens"", ""Kitchen"", ""Hair dryer"", ""Refrigerator"", ""Washer"", ""TV"", ""Smoke alarm"", ""Iron"", ""Lockbox"", ""Bathtub"", ""Toaster"", ""Cooking basics"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""Dryer"", ""Self check-in"", ""Cleaning products"", ""Hangers"", ""Wifi"", ""Ethernet connection"", ""Essentials"", ""Shampoo"", ""Heating"", ""Microwave""]",$89.00,1,365,1.0,4.0,1.0,1125.0,1.8,318.0,,t,0,0,21,289,2024-09-23,9,9,0,2023-09-28,2024-02-07,3.89,3.56,4.11,4.33,4.56,4.44,3.89,,t,7,7,0,0,0.75
1877,969422367333795118,https://www.airbnb.com/rooms/969422367333795118,20240923134023,2024-09-23,city scrape,Double ensuite room + free secure parking,"A newly decorated and refurbished double bedroom and en-suite bathroom, within a 10 minute walk to central Bristol. The room and ensuite is within an apartment I live in and the rest of the spaces you will have access to and share with me, including a large open-plan living room with views of Bristol harbourside and SS Great Britain and a well-equipped kitchen. <br /><br />I am open to long-terms bookings - send a message if interested!","The apartment is ideally located for the Harbourside/floating Harbour, being located right opposite the River Avon and the SS Great Britain. Is is also a short walk (10 minutes) to the Cathedral/College Green/City Hall with all its shops, galleries and other amenities. Historic Clifton and the famous Clifton Suspension Bridge are also very close and can be reached easily on foot.",https://a0.muscache.com/pictures/miso/Hosting-969422367333795118/original/6847629e-e63d-4178-b5ea-ca0243c66f48.jpeg,50267636,https://www.airbnb.com/users/show/50267636,Leila,2015-12-01,"Bristol, United Kingdom",An artist happily living in and enjoying all that Bristol has to offer! I host from the heart and love having people passing through my home,within an hour,100%,100%,t,https://a0.muscache.com/im/pictures/user/User/original/e0cdcbed-614f-49fd-9014-6bf4d24ab3fd.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User/original/e0cdcbed-614f-49fd-9014-6bf4d24ab3fd.jpeg?aki_policy=profile_x_medium,,3,3,"['email', 'phone']",t,t,Neighborhood highlights,Hotwells & Harbourside,,51.4500584,-2.6111685,Private room in condo,Private room,2,1.0,1 private bath,1.0,1.0,"[""Cleaning available during stay"", ""Oven"", ""Books and reading material"", ""Induction stove"", ""Dining table"", ""Dishwasher"", ""Room-darkening shades"", ""Portable fans"", ""Freezer"", ""Hot water kettle"", ""Hot water"", ""Bed linens"", ""Hair dryer"", ""Kitchen"", ""Conditioner"", ""Single level home"", ""Fast wifi \u2013 240 Mbps"", ""Drying rack for clothing"", ""Blender"", ""Samsung American style fridge freezer with ice maker and chilled water refrigerator"", ""Shower gel"", ""Free washer \u2013 In unit"", ""Smoke alarm"", ""Body soap"", ""Clothing storage: closet"", ""Iron"", ""Lock on bedroom door"", ""Toaster"", ""Cooking basics"", ""Luggage dropoff allowed"", ""First aid kit"", ""Extra pillows and blankets"", ""Harbor view"", ""Host greets you"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""Coffee"", ""Waterfront"", ""Long term stays allowed"", ""Free residential garage on premises \u2013 1 space"", ""Central heating"", ""Cleaning products"", ""Baking sheet"", ""Hangers"", ""Essentials"", ""Shampoo"", ""Fire extinguisher"", ""Dishes and silverware"", ""Elevator"", ""Microwave""]",$73.00,1,1125,1.0,1.0,1125.0,1125.0,1.0,1125.0,,t,15,39,67,107,2024-09-23,94,86,15,2023-09-09,2024-09-22,4.98,4.97,4.98,4.99,4.98,4.95,4.97,,t,1,0,1,0,7.4
1878,969476681910765717,https://www.airbnb.com/rooms/969476681910765717,20240923134023,2024-09-23,city scrape,Idyllic Clifton Hideaway - Stunning Garden Flat,"Nestled in the heart of Clifton - one of Bristol's prized locations, and conveniently positioned in walking distance to the iconic Suspension Bridge, Clifton Triangle and Bristol Harbourside with all of the amenities on offer.","Positioned in one of the highest regarded locations in Bristol... The White Lion is a local hotspot, with its terrace bar overlooking the Suspension Bridge, just a short walk away. It's also just a few minutes walk to highly regarded The Ivy & Cote restaurants, Zizzi, many lovely coffee spots, independent shops, supermarkets and the renowned Portcullis pub situated just down the road.",https://a0.muscache.com/pictures/prohost-api/Hosting-969476681910765717/original/488a3e12-1372-49d5-b56d-3d6d3b6a61ee.jpeg,532158290,https://www.airbnb.com/users/show/532158290,Carole,2023-08-16,,"I lived in Clifton for a short while many years ago and I fell in love with it then. 

Circumstances tie me to The Midlands but eventually I bought this lovely flat as a place to stay and share. I have the hospitality spirit and like to offer stylish and cosy surroundings.",within an hour,90%,100%,t,https://a0.muscache.com/im/pictures/user/User-532158290/original/c05be229-9e2f-4a70-b179-af5962d29851.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-532158290/original/c05be229-9e2f-4a70-b179-af5962d29851.jpeg?aki_policy=profile_x_medium,,2,2,"['email', 'phone']",t,t,Neighborhood highlights,Clifton Down,,51.46054,-2.61012,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Cleaning available during stay"", ""Oven"", ""Clothing storage: wardrobe"", ""Books and reading material"", ""Hot water kettle"", ""Paid parking off premises"", ""Bed linens"", ""Kitchen"", ""Hair dryer"", ""TV with standard cable"", ""Refrigerator"", ""Washer"", ""Smoke alarm"", ""Iron"", ""Lockbox"", ""Toaster"", ""Cooking basics"", ""First aid kit"", ""Carbon monoxide alarm"", ""Self check-in"", ""Cleaning products"", ""Hangers"", ""Wifi"", ""Shampoo"", ""Fire extinguisher"", ""Dishes and silverware"", ""Heating"", ""Microwave""]",$105.00,1,1125,2.0,4.0,365.0,365.0,3.4,365.0,,t,16,16,16,16,2024-09-23,37,37,4,2023-09-26,2024-09-08,4.65,4.65,4.65,4.76,4.73,4.81,4.41,,t,2,2,0,0,3.05
1880,970903222362013848,https://www.airbnb.com/rooms/970903222362013848,20240923134023,2024-09-23,previous scrape,Cosy room with garden,"This is a super cosy room, located very close to Imperial Park, and is on the main run to Bristol airport.  There is also lots of buses into Bristol at your disposal.  <br /><br />The room is ideal for people looking for temporary, short to medium/long term stays, perhaps ideal for people working in the area or perhaps you are visiting friends and family for a long stay.<br /><br />The house is a shared house so bathrooms are shared.  Kitchen is shared and equipped with all you need.",,https://a0.muscache.com/pictures/hosting/Hosting-970903222362013848/original/74aae221-8f96-4a3e-96cf-68d1b27cb6f7.jpeg,481511871,https://www.airbnb.com/users/show/481511871,Jona,2022-09-29,,,within an hour,100%,98%,t,https://a0.muscache.com/im/pictures/user/33dcc7e3-8e85-4354-836c-e4f7be23fb79.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/33dcc7e3-8e85-4354-836c-e4f7be23fb79.jpg?aki_policy=profile_x_medium,,11,11,"['email', 'phone']",t,t,,Filwood,,51.4205269,-2.592053,Private room in home,Private room,1,,1 bath,,,"[""Bed linens"", ""Kitchen"", ""Washer"", ""Drying rack for clothing"", ""Smoke alarm"", ""Clothing storage: closet"", ""Private backyard"", ""Lock on bedroom door"", ""Toaster"", ""Keypad"", ""Extra pillows and blankets"", ""Carbon monoxide alarm"", ""Long term stays allowed"", ""Central heating"", ""Free parking on premises"", ""Self check-in"", ""Hangers"", ""Electric stove"", ""Wifi"", ""Essentials"", ""Hot water kettle"", ""Microwave""]",,4,31,4.0,4.0,1125.0,1125.0,4.0,1125.0,,t,0,0,0,0,2024-09-23,4,3,0,2023-09-14,2023-10-16,4.5,4.25,4.25,3.75,4.5,4.25,4.25,,t,3,0,3,0,0.32
1881,970948457186050210,https://www.airbnb.com/rooms/970948457186050210,20240923134023,2024-09-23,city scrape,Cosy sweet room,"It is located very close to Imperial Park, and is on the main run to Bristol airport.  There is also lots of buses into Bristol at your disposal.  <br /><br />The room is ideal for people looking for temporary, short to medium/long term stays, perhaps ideal for people working in the area or perhaps you are visiting friends and family for a long stay.<br /><br />This is a small single room but has lots of storage under the bed.  It is on the upper floor with a shared bathroom.",,https://a0.muscache.com/pictures/hosting/Hosting-970948457186050210/original/5c8af226-2c81-471e-8cb3-8f507919c34a.jpeg,481511871,https://www.airbnb.com/users/show/481511871,Jona,2022-09-29,,,within an hour,100%,98%,t,https://a0.muscache.com/im/pictures/user/33dcc7e3-8e85-4354-836c-e4f7be23fb79.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/33dcc7e3-8e85-4354-836c-e4f7be23fb79.jpg?aki_policy=profile_x_medium,,11,11,"['email', 'phone']",t,t,,Filwood,,51.41971,-2.59104,Private room in home,Private room,1,1.0,1 bath,1.0,1.0,"[""Stove"", ""Bed linens"", ""Kitchen"", ""Washer"", ""Drying rack for clothing"", ""Smoke alarm"", ""Lock on bedroom door"", ""Toaster"", ""Keypad"", ""Extra pillows and blankets"", ""Carbon monoxide alarm"", ""Long term stays allowed"", ""Clothing storage"", ""Backyard"", ""Free parking on premises"", ""Self check-in"", ""Hangers"", ""Wifi"", ""Essentials"", ""Hot water kettle"", ""Heating"", ""Microwave""]",$28.00,28,28,28.0,28.0,28.0,28.0,28.0,28.0,,t,28,58,88,129,2024-09-23,5,5,0,2023-10-19,2024-05-31,4.0,4.4,4.0,4.8,4.6,4.0,4.2,,t,3,0,3,0,0.44
1884,974035768724953771,https://www.airbnb.com/rooms/974035768724953771,20240923134023,2024-09-23,city scrape,Beautiful Home with Parking & Ping Pong Table!,"This beautiful newly built property is the perfect base when visiting Bristol.<br /><br />Located just a 10-15 minute walk from Temple Meads Train Station and less than a 12 minute walk from the harbourside where you will find lots of bars and resturants, as well as local attractions, it's in a fantastic spot for guests exploring Bristol by foot. <br /><br />For those travelling by car it has the added bonus of a free parking space in its private secure garage with ping pong table! A real home from home","A short walk from Temple Meads train station, Bristol City Centre, Harbourside, Whapping Wharf & Ashton Gate Stadium.<br /><br /><br />East St is  an up and coming area located only a few minutes from the property with plenty of places  to eat, drink and shop.<br /><br />Within walking distance;<br />-Asda<br />-Sunra Kitchen<br />-The rope walk<br />-Grounded cafe bar<br />-Bristol loaf cafe<br />- Bedminster Libary<br />- Goldminster Jewellers<br />- Can Can pizza<br />- Windmill hill city farm<br />-Ancors Fish and chips<br />-On point brew co<br />- Lucky strike<br />- The collaseum<br />-East st Emporium<br />-Hippie Flower<br />-North st<br />- West st",https://a0.muscache.com/pictures/miso/Hosting-974035768724953771/original/aa5408a8-86f2-4538-b3b6-17d41450d802.jpeg,236481623,https://www.airbnb.com/users/show/236481623,Mairead June,2019-01-14,"Bristol, United Kingdom","Bespoke Cultural Escapes (BCE)

We are a professional serviced accommodation superhost with properties in Bristol and Bath. 

We specialise in providing great accommodation for leisure stays, business and contractor stays as well as relocation stays.

Looking for a place to stay in Bristol, Bath or North Somerset? Book with us! 

Our team will be more than happy to help you :)

Check out our Insta - @airbnb_bce",within an hour,100%,100%,t,https://a0.muscache.com/im/pictures/user/User-236481623/original/9594bf09-9f1c-438b-a5e3-4d43dfdaf3a0.png?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-236481623/original/9594bf09-9f1c-438b-a5e3-4d43dfdaf3a0.png?aki_policy=profile_x_medium,,52,71,"['email', 'phone']",t,t,Neighborhood highlights,Southville,,51.44421,-2.59168,Entire home,Entire home/apt,6,2.0,2 baths,2.0,3.0,"[""Ping pong table"", ""Free washer \u2013 In building"", ""Private patio or balcony"", ""Dining table"", ""Dishwasher"", ""Pack \u2019n play/Travel crib - always at the listing"", ""Portable fans"", ""Freezer"", ""Hot water kettle"", ""Hot water"", ""Wine glasses"", ""Bed linens"", ""Hair dryer"", ""Kitchen"", ""Conditioner"", ""Shampoo"", ""TV"", ""Drying rack for clothing"", ""Shower gel"", ""Smoke alarm"", ""Body soap"", ""Lamona refrigerator"", ""Clothing storage: closet"", ""Iron"", ""Lockbox"", ""Toaster"", ""Cooking basics"", ""Lamona electric stove"", ""Private entrance"", ""Dedicated workspace"", ""Coffee"", ""Free residential garage on premises \u2013 1 space"", ""Central heating"", ""Self check-in"", ""Cleaning products"", ""Baking sheet"", ""Hangers"", ""Wifi"", ""Essentials"", ""Stainless steel single oven"", ""Board games"", ""Dishes and silverware"", ""Standalone high chair - always at the listing"", ""Microwave""]",$153.00,2,1125,2.0,2.0,1125.0,1125.0,2.0,1125.0,,t,1,10,40,220,2024-09-23,24,24,0,2023-10-06,2024-06-09,4.83,4.96,4.79,4.92,4.96,4.67,4.71,,t,46,46,0,0,2.03
1889,978773896167375824,https://www.airbnb.com/rooms/978773896167375824,20240923134023,2024-09-23,city scrape,Harford House Studios  8 - Hopewell,"Harford house is an old building located in the centre of Bristol, near the lively Park street. A large amount of Cafes, restaurants and shops are right next to you. You will be only a few minutes walk from the Harbourside, The university of Bristol, Old town Bristol and Cabot Circus.","Near Park street, this building is located in a quiet street.",https://a0.muscache.com/pictures/prohost-api/Hosting-978773896167375824/original/9140e23b-a376-44c8-9d16-561f8bf587e9.jpeg,65192629,https://www.airbnb.com/users/show/65192629,Hopewell,2016-03-31,"Bristol, United Kingdom","Hello we are Hopewell and welcome to our profile. We are dedicated to making sure you enjoy your stay in one of our many homes, be that in the city centre, Clifton or beyond.
We are here to help you enjoy your time with us and get the best out of what Bristol has to offer. 
Our team really has great knowledge of the area so please feel free to ask us any questions.  We are all really passionate about our great city, and are excited about others coming to explore all it has to offer.
Everyone has a role to play in the team, so there is always someone to look after you.
We are experts in Airbnb which started from looking after our own properties, to friends, to the whole of Bristol and beyond. 

We look forward to having you to stay!

",within an hour,100%,100%,f,https://a0.muscache.com/im/pictures/user/8f002c1b-6f2b-4486-ba4d-e0132b7becad.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/8f002c1b-6f2b-4486-ba4d-e0132b7becad.jpg?aki_policy=profile_x_medium,,183,466,"['email', 'phone']",t,t,Neighborhood highlights,Central,,51.4539328,-2.6000476,Entire rental unit,Entire home/apt,2,1.0,1 bath,0.0,1.0,"[""Kitchen"", ""Oven"", ""Cooking basics"", ""Refrigerator"", ""Dishes and silverware"", ""TV"", ""Dishwasher"", ""Stove"", ""Hot water"", ""Wifi"", ""Bed linens"", ""Heating"", ""Smoke alarm""]",$60.00,1,365,1.0,3.0,365.0,365.0,1.3,365.0,,t,18,44,73,348,2024-09-23,26,26,4,2023-10-15,2024-09-16,4.27,4.46,4.46,4.58,4.69,4.46,4.19,,t,145,135,3,0,2.26
1892,979460275426755596,https://www.airbnb.com/rooms/979460275426755596,20240923134023,2024-09-23,city scrape,Harford House Studios  1 - Hopewell,"Harford house is an old building located in the centre of Bristol, near the lively Park street. A large amount of Cafes, restaurants and shops are right next to you. You will be only a few minutes walk from the Harbourside, The university of Bristol, Old town Bristol and Cabot Circus.","Near Park street, this building is located in a quiet street.",https://a0.muscache.com/pictures/prohost-api/Hosting-979460275426755596/original/2bca578f-9049-4279-a3db-b9a59047026d.jpeg,65192629,https://www.airbnb.com/users/show/65192629,Hopewell,2016-03-31,"Bristol, United Kingdom","Hello we are Hopewell and welcome to our profile. We are dedicated to making sure you enjoy your stay in one of our many homes, be that in the city centre, Clifton or beyond.
We are here to help you enjoy your time with us and get the best out of what Bristol has to offer. 
Our team really has great knowledge of the area so please feel free to ask us any questions.  We are all really passionate about our great city, and are excited about others coming to explore all it has to offer.
Everyone has a role to play in the team, so there is always someone to look after you.
We are experts in Airbnb which started from looking after our own properties, to friends, to the whole of Bristol and beyond. 

We look forward to having you to stay!

",within an hour,100%,100%,f,https://a0.muscache.com/im/pictures/user/8f002c1b-6f2b-4486-ba4d-e0132b7becad.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/8f002c1b-6f2b-4486-ba4d-e0132b7becad.jpg?aki_policy=profile_x_medium,,183,466,"['email', 'phone']",t,t,Neighborhood highlights,Central,,51.4539328,-2.6000476,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Kitchen"", ""Oven"", ""Cooking basics"", ""Refrigerator"", ""Dishes and silverware"", ""TV"", ""Dishwasher"", ""Stove"", ""Hot water"", ""Wifi"", ""Bed linens"", ""Heating"", ""Smoke alarm""]",$81.00,1,45,1.0,1.0,45.0,45.0,1.0,45.0,,t,17,44,74,348,2024-09-23,5,4,0,2023-09-18,2023-10-29,4.4,4.8,4.2,4.6,4.8,5.0,4.0,,t,145,135,3,0,0.4
