,host_name,host_since,host_location,host_response_time,host_is_superhost,host_neighbourhood,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,property_type,room_type,bathrooms_text,amenities,price,has_availability,license,instant_bookable,first_review,last_review,host_response_rate,host_acceptance_rate,host_total_listings_count,latitude,longitude,accommodates,bathrooms,bedrooms,beds,minimum_nights,maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month
822,Jason,2020-10-01,"Bristol, United Kingdom",within a few hours,f,Not specified,"['email', 'phone']",t,t,Neighborhood highlights,Redland,Private room in home,Private room,1 shared bath,"[""Dishwasher"", ""Freezer"", ""Hot water"", ""Indoor fireplace"", ""Bed linens"", ""Kitchen"", ""Hair dryer"", ""Clothing storage: closet and dresser"", ""Outdoor furniture"", ""Refrigerator"", ""HDTV with Amazon Prime Video"", ""Smoke alarm"", ""Iron"", ""Free street parking"", ""Private living room"", ""Cooking basics"", ""Free driveway parking on premises \u2013 1 space"", ""First aid kit"", ""Outdoor dining area"", ""Paid washer \u2013 In building"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""Stainless steel gas stove"", ""Shared backyard \u2013 Fully fenced"", ""Stainless steel oven"", ""Hangers"", ""BBQ grill"", ""Wifi"", ""Essentials"", ""Dishes and silverware"", ""Heating"", ""Microwave""]","<bound method NDFrame.ffill of 0           NaN
1        $83.00
2        $37.00
3        $38.00
4           NaN
         ...   
2639    $126.00
2640    $102.00
2641     $47.00
2642     $66.00
2643     $70.00
Name: price, Length: 2644, dtype: object>",t,Without license,f,2020-10-12,2024-09-08,,,21.2,51.5,-2.5,5.9,1.0,3.0,3.0,4.6,1125.0,4.5,,30.0,,,,101.9,33.9,3.7,,,,,,,,4.4
823,Your Apartment,2017-04-13,"Bristol, United Kingdom",within an hour,f,Tooting Bec,"['email', 'phone', 'work_email']",t,t,No specified,Southville,Entire villa,Entire home/apt,1 bath,"[""Oven"", ""Dining table"", ""Stove"", ""Freezer"", ""Hot water kettle"", ""Hot water"", ""Bed linens"", ""Hair dryer"", ""Kitchen"", ""Conditioner"", ""TV with standard cable"", ""Refrigerator"", ""Washer"", ""Shower gel"", ""Smoke alarm"", ""Body soap"", ""Iron"", ""Lockbox"", ""Toaster"", ""Cooking basics"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""Long term stays allowed"", ""Clothing storage"", ""Dryer"", ""Self check-in"", ""Hangers"", ""Wifi"", ""Essentials"", ""Shampoo"", ""Dishes and silverware"", ""Heating"", ""Microwave""]","<bound method NDFrame.ffill of 0           NaN
1        $83.00
2        $37.00
3        $38.00
4           NaN
         ...   
2639    $126.00
2640    $102.00
2641     $47.00
2642     $66.00
2643     $70.00
Name: price, Length: 2644, dtype: object>",t,Without license,f,2020-10-18,2024-08-17,,,21.2,51.5,-2.5,5.9,1.0,3.0,3.0,4.6,1125.0,4.5,,30.0,,,,101.9,33.9,3.7,,,,,,,,4.4
824,Summer,2017-02-27,"England, United Kingdom",within an hour,t,Not specified,"['email', 'phone']",t,t,Neighborhood highlights,Southville,Entire rental unit,Entire home/apt,1.5 baths,"[""Oven"", ""Room-darkening shades"", ""Freezer"", ""Wine glasses"", ""Hot water"", ""Bed linens"", ""Hair dryer"", ""Kitchen"", ""Refrigerator"", ""Washer"", ""TV"", ""Blender"", ""Shower gel"", ""Smoke alarm"", ""Body soap"", ""Iron"", ""Lockbox"", ""Bathtub"", ""Toaster"", ""Cooking basics"", ""First aid kit"", ""Exercise equipment"", ""Carbon monoxide alarm"", ""Private entrance"", ""Coffee"", ""Long term stays allowed"", ""Dryer"", ""Free parking on premises"", ""Cleaning products"", ""Self check-in"", ""Hangers"", ""Air conditioning"", ""Wifi"", ""Essentials"", ""Hot water kettle"", ""Fire extinguisher"", ""Dishes and silverware"", ""Heating""]","<bound method NDFrame.ffill of 0           NaN
1        $83.00
2        $37.00
3        $38.00
4           NaN
         ...   
2639    $126.00
2640    $102.00
2641     $47.00
2642     $66.00
2643     $70.00
Name: price, Length: 2644, dtype: object>",t,Without license,f,2021-04-18,2024-07-02,,,21.2,51.5,-2.5,5.9,1.0,3.0,3.0,4.6,1125.0,4.5,,30.0,,,,101.9,33.9,3.7,,,,,,,,4.4
825,Robert,2014-08-03,"London, United Kingdom",within an hour,t,Not specified,"['email', 'phone', 'work_email']",t,t,No specified,Hotwells & Harbourside,Entire home,Entire home/apt,2.5 baths,"[""Stove"", ""Hot water"", ""Coffee maker"", ""Kitchen"", ""Hair dryer"", ""Washer"", ""TV"", ""Patio or balcony"", ""Smoke alarm"", ""Iron"", ""Lockbox"", ""Free street parking"", ""Cooking basics"", ""First aid kit"", ""Carbon monoxide alarm"", ""Private entrance"", ""Dryer"", ""Backyard"", ""Free parking on premises"", ""Self check-in"", ""Hangers"", ""Wifi"", ""Essentials"", ""Shampoo"", ""Heating""]","<bound method NDFrame.ffill of 0           NaN
1        $83.00
2        $37.00
3        $38.00
4           NaN
         ...   
2639    $126.00
2640    $102.00
2641     $47.00
2642     $66.00
2643     $70.00
Name: price, Length: 2644, dtype: object>",t,Without license,f,2021-05-31,2023-08-01,,,21.2,51.5,-2.5,5.9,1.0,3.0,3.0,5.0,1125.0,4.5,,30.0,,,,101.9,33.9,3.7,,,,,,,,4.4
826,Dave,2016-06-06,"Bristol, United Kingdom",within an hour,f,Not specified,"['email', 'phone']",t,t,No specified,Central,Entire rental unit,Entire home/apt,2 baths,"[""Oven"", ""Stove"", ""Hot water"", ""Paid parking off premises"", ""Kitchen"", ""Hair dryer"", ""Refrigerator"", ""Washer"", ""TV"", ""Smoke alarm"", ""Iron"", ""Lockbox"", ""Bathtub"", ""Cooking basics"", ""First aid kit"", ""Carbon monoxide alarm"", ""Waterfront"", ""Long term stays allowed"", ""Self check-in"", ""Baking sheet"", ""Hangers"", ""Wifi"", ""Essentials"", ""Shampoo"", ""Fire extinguisher"", ""Dishes and silverware"", ""Heating"", ""Microwave""]","<bound method NDFrame.ffill of 0           NaN
1        $83.00
2        $37.00
3        $38.00
4           NaN
         ...   
2639    $126.00
2640    $102.00
2641     $47.00
2642     $66.00
2643     $70.00
Name: price, Length: 2644, dtype: object>",t,Without license,f,2020-10-27,2024-09-08,,,26.0,51.5,-2.5,6.0,1.0,3.0,3.0,4.6,1125.0,4.5,,30.0,,,,101.9,33.9,3.0,,,,,,,,4.4
827,Graham,2016-09-14,"Bristol, United Kingdom",within an hour,f,Not specified,"['email', 'phone', 'work_email']",t,t,Neighborhood highlights,Lockleaze,Entire rental unit,Entire home/apt,1 bath,"[""Oven"", ""Stove"", ""Hot water"", ""Coffee maker"", ""Bed linens"", ""Kitchen"", ""Hair dryer"", ""Refrigerator"", ""Washer"", ""TV"", ""Smoke alarm"", ""Iron"", ""Lockbox"", ""Free street parking"", ""Cooking basics"", ""Carbon monoxide alarm"", ""Self check-in"", ""Hangers"", ""Wifi"", ""Essentials"", ""Dishes and silverware"", ""Heating"", ""Microwave""]","<bound method NDFrame.ffill of 0           NaN
1        $83.00
2        $37.00
3        $38.00
4           NaN
         ...   
2639    $126.00
2640    $102.00
2641     $47.00
2642     $66.00
2643     $70.00
Name: price, Length: 2644, dtype: object>",t,Without license,f,2020-10-14,2022-10-30,,,21.2,51.48665,-2.5,5.9,1.0,3.0,3.0,5.0,1125.0,5.0,,30.0,,,,101.9,33.9,3.7,,,,,,,,4.4
828,Chris,2012-10-01,"Bristol, United Kingdom",within a few hours,f,Not specified,"['email', 'phone', 'work_email']",t,t,Neighborhood highlights,Clifton Down,Entire rental unit,Entire home/apt,1 bath,"[""Standalone high chair - available upon request"", ""Books and reading material"", ""Dining table"", ""Laundromat nearby"", ""Room-darkening shades"", ""Hot water kettle"", ""Wine glasses"", ""Hot water"", ""Coffee maker: french press"", ""Bed linens"", ""Hair dryer"", ""Kitchen"", ""Drying rack for clothing"", ""Shower gel"", ""Free washer \u2013 In unit"", ""Smoke alarm"", ""Body soap"", ""Clothing storage: closet"", ""Iron"", ""Paid street parking off premises"", ""Bathtub"", ""Toaster"", ""Cooking basics"", ""Free driveway parking on premises \u2013 1 space"", ""First aid kit"", ""Kenwood refrigerator"", ""Dedicated workspace"", ""Coffee"", ""Long term stays allowed"", ""42 inch HDTV with Chromecast"", ""Dryer"", ""Central heating"", ""Self check-in"", ""Cleaning products"", ""Board games"", ""Stainless steel oven"", ""Hangers"", ""Smart lock"", ""Wifi"", ""Ethernet connection"", ""Essentials"", ""Shampoo"", ""Dishes and silverware"", ""Microwave""]","<bound method NDFrame.ffill of 0           NaN
1        $83.00
2        $37.00
3        $38.00
4           NaN
         ...   
2639    $126.00
2640    $102.00
2641     $47.00
2642     $66.00
2643     $70.00
Name: price, Length: 2644, dtype: object>",t,Without license,f,2021-11-20,2023-07-22,,,21.2,51.5,-2.5,5.9,1.0,3.0,3.0,5.0,1125.0,4.7,,30.0,,,,101.9,33.9,3.7,,,,,,,,4.4
829,Matt,2014-06-10,"Bristol, United Kingdom",within an hour,t,Not specified,"['email', 'phone', 'work_email']",t,t,Neighborhood highlights,Windmill Hill,Entire home,Entire home/apt,3 baths,"[""Oven"", ""Dishwasher"", ""Freezer"", ""Hot water"", ""Bed linens"", ""Kitchen"", ""Hair dryer"", ""Coffee maker: Nespresso"", ""Gas stove"", ""Outdoor furniture"", ""TV with standard cable"", ""Refrigerator"", ""Washer"", ""Fast wifi \u2013 53 Mbps"", ""Shower gel"", ""Smoke alarm"", ""Iron"", ""Free street parking"", ""Carbon monoxide alarm"", ""Private entrance"", ""Long term stays allowed"", ""Baking sheet"", ""Shared patio or balcony"", ""Hangers"", ""Private backyard \u2013 Fully fenced"", ""Ethernet connection"", ""Essentials"", ""Shampoo"", ""Dishes and silverware"", ""Heating"", ""Microwave""]","<bound method NDFrame.ffill of 0           NaN
1        $83.00
2        $37.00
3        $38.00
4           NaN
         ...   
2639    $126.00
2640    $102.00
2641     $47.00
2642     $66.00
2643     $70.00
Name: price, Length: 2644, dtype: object>",t,Without license,t,2020-10-19,2024-09-02,,,21.2,51.5,-2.5,6.0,1.0,3.0,3.0,4.6,1125.0,4.5,,30.0,,,,101.9,33.9,3.7,,,,,,,,4.4
830,Linda,2015-02-04,"Bristol, United Kingdom",within an hour,t,Not specified,"['email', 'phone']",t,t,Neighborhood highlights,Stoke Bishop,Entire home,Entire home/apt,3.5 baths,"[""Neff stainless steel oven"", ""Clothing storage: closet, wardrobe, and dresser"", ""Free washer \u2013 In building"", ""Private patio or balcony"", ""Dining table"", ""Neff refrigerator"", ""Dishwasher"", ""Laundromat nearby"", ""Freezer"", ""Neff stainless steel electric stove"", ""Hot water"", ""Exterior security cameras on property"", ""Hot water kettle"", ""Wine glasses"", ""Bed linens"", ""Pets allowed"", ""Exercise equipment: stationary bike"", ""Hair dryer"", ""Kitchen"", ""Outdoor furniture"", ""Garden view"", ""TV"", ""Blender"", ""Free driveway parking on premises \u2013 3 spaces"", ""Mini fridge"", ""Smoke alarm"", ""Iron"", ""Bathtub"", ""Free street parking"", ""Toaster"", ""Cooking basics"", ""Sound system"", ""Luggage dropoff allowed"", ""First aid kit"", ""Outdoor dining area"", ""Host greets you"", ""Carbon monoxide alarm"", ""Simple body soap"", ""Private entrance"", ""Dedicated workspace"", ""Long term stays allowed"", ""Central heating"", ""Cleaning products"", ""Baking sheet"", ""Hangers"", ""Private backyard \u2013 Fully fenced"", ""Wifi"", ""Essentials"", ""Board games"", ""Fire extinguisher"", ""Dishes and silverware"", ""Microwave""]","<bound method NDFrame.ffill of 0           NaN
1        $83.00
2        $37.00
3        $38.00
4           NaN
         ...   
2639    $126.00
2640    $102.00
2641     $47.00
2642     $66.00
2643     $70.00
Name: price, Length: 2644, dtype: object>",t,Without license,f,2022-01-23,2024-09-21,,,21.2,51.48123,-2.5,5.9,1.0,3.0,3.0,4.6,1125.0,4.5,,30.0,,,,101.9,33.9,3.7,,,,,,,,4.4
831,Sian,2020-01-14,"Bristol, United Kingdom",within an hour,f,Forest Hill,"['email', 'phone']",t,f,Neighborhood highlights,Knowle,Private room in home,Private room,1 private bath,"[""Books and reading material"", ""Room-darkening shades"", ""Portable fans"", ""Hot water"", ""Bed linens"", ""Hair dryer"", ""Clothing storage: closet and dresser"", ""Shower gel"", ""Original Source body soap"", ""Elvive conditioner"", ""Smoke alarm"", ""Iron"", ""Lock on bedroom door"", ""Bathtub"", ""Free street parking"", ""Elvive shampoo"", ""Luggage dropoff allowed"", ""Extra pillows and blankets"", ""Host greets you"", ""Central heating"", ""Cleaning products"", ""Hangers"", ""Wifi"", ""Essentials"", ""Hot water kettle""]","<bound method NDFrame.ffill of 0           NaN
1        $83.00
2        $37.00
3        $38.00
4           NaN
         ...   
2639    $126.00
2640    $102.00
2641     $47.00
2642     $66.00
2643     $70.00
Name: price, Length: 2644, dtype: object>",t,Without license,f,2023-12-02,2024-06-01,,,21.2,51.5,-2.5,5.9,1.0,3.0,3.0,4.6,1125.0,4.5,,30.0,,,,101.9,33.9,3.7,,,,,,,,4.4
832,Kristina,2014-06-07,"Bristol, United Kingdom",within an hour,f,Not specified,"['email', 'phone']",t,t,Neighborhood highlights,Horfield,Private room in home,Private room,1.5 baths,"[""Lock on bedroom door"", ""Refrigerator"", ""Hangers"", ""Hot water"", ""Essentials"", ""Exterior security cameras on property"", ""Carbon monoxide alarm"", ""Extra pillows and blankets"", ""Wifi"", ""Bed linens"", ""Heating"", ""Smoke alarm""]","<bound method NDFrame.ffill of 0           NaN
1        $83.00
2        $37.00
3        $38.00
4           NaN
         ...   
2639    $126.00
2640    $102.00
2641     $47.00
2642     $66.00
2643     $70.00
Name: price, Length: 2644, dtype: object>",t,Without license,f,2020-11-12,2022-04-29,,,21.2,51.49074,-2.5,5.9,1.0,3.0,3.0,4.6,1125.0,4.5,,30.0,,,,101.9,33.9,3.7,,,,,,,,4.4
833,GregandClare,2012-07-11,"Bristol, United Kingdom",within an hour,f,Not specified,"['email', 'phone']",t,t,Neighborhood highlights,Cotham,Entire rental unit,Entire home/apt,1.5 baths,"[""Oven"", ""Private patio or balcony"", ""Dining table"", ""Laundromat nearby"", ""Stove"", ""Wine glasses"", ""Hot water"", ""Bed linens"", ""Kitchen"", ""Refrigerator"", ""Washer"", ""TV"", ""Smoke alarm"", ""Iron"", ""Free street parking"", ""Toaster"", ""Cooking basics"", ""Keypad"", ""Carbon monoxide alarm"", ""Private entrance"", ""Long term stays allowed"", ""Central heating"", ""Free parking on premises"", ""Self check-in"", ""Hangers"", ""Wifi"", ""Ethernet connection"", ""Essentials"", ""Hot water kettle"", ""Fire extinguisher"", ""Dishes and silverware"", ""Microwave""]","<bound method NDFrame.ffill of 0           NaN
1        $83.00
2        $37.00
3        $38.00
4           NaN
         ...   
2639    $126.00
2640    $102.00
2641     $47.00
2642     $66.00
2643     $70.00
Name: price, Length: 2644, dtype: object>",t,Without license,f,2021-02-19,2024-08-27,,,21.2,51.5,-2.5,5.9,1.0,3.0,3.0,4.6,1125.0,4.5,,30.0,,,,101.0,28.0,3.7,,,,,,,,4.4
834,Gavin,2013-05-18,"Bristol, United Kingdom",within a few hours,t,Not specified,"['email', 'phone']",t,t,Neighborhood highlights,Knowle,Private room in home,Private room,1 shared bath,"[""Oven"", ""Dishwasher"", ""Hot water"", ""Kitchen"", ""Refrigerator"", ""Washer"", ""Patio or balcony"", ""Smoke alarm"", ""Piano"", ""Iron"", ""Lock on bedroom door"", ""Cooking basics"", ""Host greets you"", ""Dedicated workspace"", ""Backyard"", ""Free parking on premises"", ""Wifi"", ""Essentials"", ""Dishes and silverware"", ""Heating"", ""Microwave""]","<bound method NDFrame.ffill of 0           NaN
1        $83.00
2        $37.00
3        $38.00
4           NaN
         ...   
2639    $126.00
2640    $102.00
2641     $47.00
2642     $66.00
2643     $70.00
Name: price, Length: 2644, dtype: object>",t,Without license,f,2020-10-30,2024-09-19,,,21.2,51.5,-2.5,5.9,1.0,3.0,3.0,4.6,1125.0,4.5,,30.0,,,,101.9,33.9,3.7,,,,,,,,4.4
835,Richard,2016-01-02,"Bristol, United Kingdom",within a day,t,Not specified,"['email', 'phone']",t,t,No specified,Lockleaze,Private room in home,Private room,1 shared bath,"[""Oven"", ""Ping pong table"", ""Free washer \u2013 In building"", ""Dining table"", ""Dishwasher"", ""Freezer"", ""Hot water kettle"", ""Hot water"", ""Wine glasses"", ""Bed linens"", ""Hair dryer"", ""Kitchen"", ""Conditioner"", ""Gas stove"", ""Outdoor furniture"", ""Clothing storage: dresser"", ""Refrigerator"", ""Blender"", ""Smoke alarm"", ""Body soap"", ""Children\u2019s dinnerware"", ""Iron"", ""Fire pit"", ""Bathtub"", ""Free street parking"", ""Toaster"", ""Cooking basics"", ""BBQ grill: charcoal"", ""Luggage dropoff allowed"", ""First aid kit"", ""Outdoor dining area"", ""32 inch TV with Chromecast, standard cable"", ""Host greets you"", ""Carbon monoxide alarm"", ""City skyline view"", ""Dedicated workspace"", ""Coffee"", ""Children\u2019s books and toys for ages 0-2 years old and 2-5 years old"", ""Central heating"", ""Cleaning products"", ""Board games"", ""Fire extinguisher"", ""Baking sheet"", ""Shared backyard \u2013 Fully fenced"", ""Shared patio or balcony"", ""Hangers"", ""Sun loungers"", ""Wifi"", ""Ethernet connection"", ""Essentials"", ""Shampoo"", ""High chair"", ""Dishes and silverware"", ""Microwave""]","<bound method NDFrame.ffill of 0           NaN
1        $83.00
2        $37.00
3        $38.00
4           NaN
         ...   
2639    $126.00
2640    $102.00
2641     $47.00
2642     $66.00
2643     $70.00
Name: price, Length: 2644, dtype: object>",t,Without license,f,2021-05-06,2024-09-12,,,21.2,51.5,-2.5,5.9,1.0,3.0,3.0,4.6,1125.0,4.5,,30.0,,,,101.9,33.9,3.7,,,,,,,,4.4
836,Okunade,2020-10-27,No location,within an hour,f,Not specified,"['email', 'phone']",t,f,Neighborhood highlights,Eastville,Entire guest suite,Entire home/apt,1.5 baths,"[""Private patio or balcony"", ""AC - split type ductless system"", ""Dining table"", ""Laundromat nearby"", ""Freezer"", ""Wine glasses"", ""Hot water"", ""Exterior security cameras on property"", ""Bed linens"", ""Kitchen"", ""Single level home"", ""34 inch HDTV with Netflix"", ""Drying rack for clothing"", ""Fridge freezer refrigerator"", ""Free washer \u2013 In unit"", ""Smoke alarm"", ""Courtyard view"", ""Clothing storage: closet"", ""Window guards"", ""Lockbox"", ""Bathtub"", ""Free street parking"", ""Toaster"", ""Cooking basics"", ""Paid dryer \u2013 In building"", ""Carbon monoxide alarm"", ""Private entrance"", ""Fan oven stainless steel oven"", ""Dedicated workspace"", ""Self check-in"", ""Wifi \u2013 38 Mbps"", ""Hangers"", ""Electric stove"", ""Essentials"", ""Hot water kettle"", ""Dishes and silverware"", ""Heating"", ""Microwave""]","<bound method NDFrame.ffill of 0           NaN
1        $83.00
2        $37.00
3        $38.00
4           NaN
         ...   
2639    $126.00
2640    $102.00
2641     $47.00
2642     $66.00
2643     $70.00
Name: price, Length: 2644, dtype: object>",t,Without license,t,2022-09-09,2022-11-14,,,21.2,51.5,-2.54069,5.9,1.0,3.0,3.0,4.6,1125.0,4.5,,30.0,,,,101.9,33.9,3.7,,,,,,,,4.4
837,Nick,2014-09-22,"Bristol, United Kingdom",within an hour,t,Not specified,"['email', 'phone', 'work_email']",t,t,No specified,Central,Entire rental unit,Entire home/apt,2 baths,"[""Fast wifi \u2013 58 Mbps"", ""Oven"", ""Dishwasher"", ""Stove"", ""Hot water"", ""Paid parking off premises"", ""Coffee maker"", ""Bed linens"", ""Kitchen"", ""Refrigerator"", ""TV"", ""Drying rack for clothing"", ""Free washer \u2013 In unit"", ""Smoke alarm"", ""Iron"", ""Lockbox"", ""Bathtub"", ""Cooking basics"", ""Shared backyard"", ""Carbon monoxide alarm"", ""Private entrance"", ""Clothing storage"", ""Free parking on premises"", ""Cleaning products"", ""Self check-in"", ""Shared patio or balcony"", ""Hangers"", ""Essentials"", ""Dishes and silverware"", ""Heating"", ""Elevator"", ""Microwave""]","<bound method NDFrame.ffill of 0           NaN
1        $83.00
2        $37.00
3        $38.00
4           NaN
         ...   
2639    $126.00
2640    $102.00
2641     $47.00
2642     $66.00
2643     $70.00
Name: price, Length: 2644, dtype: object>",t,Without license,f,2021-03-07,2024-09-12,,,21.2,51.5,-2.5,5.9,1.0,3.0,3.0,4.6,1125.0,4.5,,30.0,,,,101.9,33.9,3.7,,,,,,,,4.4
838,Louise,2015-08-04,"Bristol, United Kingdom",within an hour,f,Not specified,"['email', 'phone']",t,t,No specified,Southville,Entire home,Entire home/apt,2 baths,"[""Iron"", ""Kitchen"", ""Smoke alarm"", ""TV"", ""Hangers"", ""Wifi"", ""Essentials"", ""Private entrance"", ""Shampoo"", ""Heating"", ""Hair dryer""]","<bound method NDFrame.ffill of 0           NaN
1        $83.00
2        $37.00
3        $38.00
4           NaN
         ...   
2639    $126.00
2640    $102.00
2641     $47.00
2642     $66.00
2643     $70.00
Name: price, Length: 2644, dtype: object>",t,Without license,t,2021-04-13,2024-06-30,,,21.2,51.5,-2.5,7.0,1.0,3.0,3.0,4.6,1125.0,4.5,,30.0,,,,101.9,33.9,3.7,,,,,,,,4.4
839,Gwen,2012-08-15,"Bristol, United Kingdom",within a few hours,t,Not specified,"['email', 'phone', 'work_email']",t,t,Neighborhood highlights,Southville,Entire rental unit,Entire home/apt,1.5 baths,"[""Microwave"", ""Patio or balcony"", ""Toaster"", ""Dishes and silverware"", ""Refrigerator"", ""TV"", ""First aid kit"", ""Wifi"", ""Essentials"", ""Private entrance"", ""Hot water kettle"", ""Mini fridge"", ""Host greets you"", ""Carbon monoxide alarm"", ""Heating"", ""Smoke alarm"", ""Dedicated workspace""]","<bound method NDFrame.ffill of 0           NaN
1        $83.00
2        $37.00
3        $38.00
4           NaN
         ...   
2639    $126.00
2640    $102.00
2641     $47.00
2642     $66.00
2643     $70.00
Name: price, Length: 2644, dtype: object>",t,Without license,f,2021-06-03,2024-09-10,,,21.2,51.5,-2.5,5.9,1.0,3.0,3.0,4.6,1125.0,4.5,,30.0,,,,101.9,30.0,3.0,,,,,,,,4.4
840,Gwen,2012-08-15,"Bristol, United Kingdom",within a few hours,t,Not specified,"['email', 'phone', 'work_email']",t,t,Neighborhood highlights,Southville,Entire rental unit,Entire home/apt,1 bath,"[""TV"", ""First aid kit"", ""Wifi"", ""Essentials"", ""Private entrance"", ""Shampoo"", ""Host greets you"", ""Dishes and silverware"", ""Heating"", ""Smoke alarm"", ""Dedicated workspace""]","<bound method NDFrame.ffill of 0           NaN
1        $83.00
2        $37.00
3        $38.00
4           NaN
         ...   
2639    $126.00
2640    $102.00
2641     $47.00
2642     $66.00
2643     $70.00
Name: price, Length: 2644, dtype: object>",t,Without license,f,2021-03-16,2024-07-05,,,21.2,51.5,-2.5,5.9,1.0,3.0,3.0,4.6,1125.0,4.5,,30.0,,,,101.9,33.9,3.7,,,,,,,,4.4
841,Tom,2015-11-21,"Bristol, United Kingdom",within an hour,t,Not specified,"['email', 'phone']",t,t,No specified,Clifton Down,Entire rental unit,Entire home/apt,1 bath,"[""Oven"", ""Stove"", ""Hot water"", ""Exterior security cameras on property"", ""Bed linens"", ""Kitchen"", ""Hair dryer"", ""Free washer"", ""Free dryer"", ""Refrigerator"", ""TV"", ""Shower gel"", ""Smoke alarm"", ""Clothing storage: closet"", ""Iron"", ""Cooking basics"", ""Free driveway parking on premises \u2013 1 space"", ""Keypad"", ""Dedicated workspace"", ""Self check-in"", ""Hangers"", ""Essentials"", ""Fast wifi \u2013 148 Mbps"", ""Fire extinguisher"", ""Dishes and silverware"", ""Heating""]","<bound method NDFrame.ffill of 0           NaN
1        $83.00
2        $37.00
3        $38.00
4           NaN
         ...   
2639    $126.00
2640    $102.00
2641     $47.00
2642     $66.00
2643     $70.00
Name: price, Length: 2644, dtype: object>",t,Without license,f,2020-12-28,2024-09-22,,,21.2,51.5,-2.5,5.9,1.0,3.0,3.0,4.6,1125.0,4.5,,30.0,,,,101.9,33.9,3.7,,,,,,,,4.4
842,Michael,2015-12-18,"Bristol, United Kingdom",within an hour,f,Not specified,"['phone', 'work_email']",t,t,Neighborhood highlights,Clifton,Entire townhouse,Entire home/apt,2.5 baths,"[""Oven"", ""Private patio or balcony"", ""Dining table"", ""Laundromat nearby"", ""Dishwasher"", ""Room-darkening shades"", ""Freezer"", ""Hot water kettle"", ""Hot water"", ""Wine glasses"", ""Coffee maker: french press"", ""Bed linens"", ""Pets allowed"", ""Hair dryer"", ""Kitchen"", ""Clothing storage: closet and dresser"", ""Outdoor furniture"", ""Refrigerator"", ""Paid parking garage off premises"", ""Drying rack for clothing"", ""Pack \u2019n play/Travel crib"", ""Free washer \u2013 In unit"", ""Smoke alarm"", ""Iron"", ""Lockbox"", ""Bathtub"", ""Toaster"", ""Cooking basics"", ""First aid kit"", ""Extra pillows and blankets"", ""32 inch HDTV with Netflix"", ""Wifi \u2013 25 Mbps"", ""Carbon monoxide alarm"", ""City skyline view"", ""Private entrance"", ""Dedicated workspace"", ""Coffee"", ""Long term stays allowed"", ""Free residential garage on premises \u2013 1 space"", ""Stainless steel gas stove"", ""Cleaning products"", ""Self check-in"", ""Baking sheet"", ""Hangers"", ""Private backyard \u2013 Fully fenced"", ""Essentials"", ""Shampoo"", ""Fire extinguisher"", ""Dishes and silverware"", ""Heating"", ""Microwave""]","<bound method NDFrame.ffill of 0           NaN
1        $83.00
2        $37.00
3        $38.00
4           NaN
         ...   
2639    $126.00
2640    $102.00
2641     $47.00
2642     $66.00
2643     $70.00
Name: price, Length: 2644, dtype: object>",t,Without license,t,2021-01-31,2024-09-12,,,21.2,51.5,-2.5,5.9,1.0,3.0,3.0,4.6,1125.0,4.5,,30.0,,,,101.9,33.9,3.7,,,,,,,,4.4
843,Michael,2015-12-18,"Bristol, United Kingdom",within an hour,f,Not specified,"['phone', 'work_email']",t,t,Neighborhood highlights,Frome Vale,Entire home,Entire home/apt,1 bath,"[""Private patio or balcony"", ""Hot water"", ""Pets allowed"", ""Kitchen"", ""Hair dryer"", ""Refrigerator"", ""TV"", ""Free washer \u2013 In unit"", ""Smoke alarm"", ""Iron"", ""Lockbox"", ""Cooking basics"", ""First aid kit"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""Free parking on premises"", ""Self check-in"", ""Hangers"", ""Private backyard \u2013 Fully fenced"", ""Essentials"", ""Shampoo"", ""Fast wifi \u2013 219 Mbps"", ""Dishes and silverware"", ""Heating""]","<bound method NDFrame.ffill of 0           NaN
1        $83.00
2        $37.00
3        $38.00
4           NaN
         ...   
2639    $126.00
2640    $102.00
2641     $47.00
2642     $66.00
2643     $70.00
Name: price, Length: 2644, dtype: object>",t,Without license,t,2021-02-06,2024-09-15,,,21.2,51.48564,-2.55196,5.0,1.0,3.0,3.0,4.6,1125.0,4.5,,30.0,,,,101.9,33.9,3.7,,,,,,,,4.4
